Id;Category;Manufacturer;Model;Prod. year;Gear box type;Leather interior;Fuel type;Engine volume;Drive wheels;Cylinders;Mileage;Doors;Airbags;Wheel;Color;Sales Fee
15246;Sedan;HYUNDAI;Elantra;2014;Automatic;No;Petrol;1.8;Front;4;105000 km;4;6;Left wheel;Blue;584
5176;Sedan;TOYOTA;Camry;2013;Automatic;Yes;Hybrid;2.5;Front;4;124912 km;4;12;Left wheel;White;779
3143;Jeep;JEEP;Compass;2009;Automatic;Yes;Petrol;2.4;Front;4;54575 km;4;4;Left wheel;Silver;1141
3360;Jeep;JEEP;Wrangler;2011;Manual;No;Petrol;3.8;4x4;6;120000 km;2;2;Left wheel;White;-
3105;Coupe;MERCEDES-BENZ;C 250;2013;Automatic;Yes;Petrol;0;Rear;4;121600 km;4;12;Left wheel;White;87
5390;Jeep;BMW;X5;2014;Automatic;Yes;Diesel;3;4x4;6;110715 km;4;0;Left wheel;White;915
15021;Jeep;SSANGYONG;REXTON;2013;Automatic;Yes;Diesel;2;Front;4;152739 km;4;4;Left wheel;Brown;640
17878;Jeep;HYUNDAI;Santa FE;2015;Automatic;Yes;Diesel;2;Front;4;175126 km;4;4;Left wheel;Black;765
17425;Sedan;KIA;Picanto;2016;Automatic;Yes;Petrol;1;Front;3;36805 km;4;4;Left wheel;Black;488
1403;Jeep;FORD;Escape;2011;Automatic;Yes;Hybrid;2.5;4x4;4;109781 km;4;12;Left wheel;White;862
175;Universal;TOYOTA;Vitz funkargo;2003;Automatic;No;Petrol;1.5;4x4;4;181926 km;4;2;Right-hand drive;Silver;-
7561;Sedan;MERCEDES-BENZ;C 220;1994;Manual;No;CNG;2.2;Rear;4;0 km;4;2;Left wheel;Black;-
4698;Hatchback;TOYOTA;Yaris;2016;Automatic;Yes;Petrol;1.5;Front;4;132528 km;4;12;Left wheel;Silver;690
1713;Jeep;MERCEDES-BENZ;ML 350;2012;Automatic;Yes;Diesel;3.5;4x4;6;245762 km;4;12;Left wheel;Black;1058
10733;Sedan;MERCEDES-BENZ;E 250;2013;Tiptronic;No;Diesel;2.1;4x4;4;45432 km;4;0;Left wheel;Black;668
2737;Coupe;MERCEDES-BENZ;Smart Fortwo;2014;Automatic;Yes;Petrol;1;Rear;3;9000 km;2;4;Left wheel;Silver;-
4453;Sedan;CHEVROLET;Cruze;2015;Automatic;Yes;Petrol;1.8;Front;4;51678 km;4;4;Left wheel;Silver;695
9129;Hatchback;HONDA;Insight;2010;Automatic;Yes;Hybrid;1.3;Front;4;184250 km;4;0;Left wheel;Grey;574
8383;Sedan;HYUNDAI;Sonata;2015;Automatic;Yes;LPG;2;Front;4;610412 km;4;4;Left wheel;Orange;765
10009;Sedan;BMW;535;2009;Tiptronic;Yes;Petrol;3.0 Turbo;4x4;6;163000 km;4;8;Left wheel;Blue;-
17596;Sedan;HYUNDAI;Sonata;2011;Tiptronic;Yes;Petrol;2.4;Front;4;106422 km;4;6;Left wheel;White;-
590;Hatchback;HONDA;FIT;2014;Variator;No;Hybrid;1.5;Front;4;121000 km;4;0;Right-hand drive;Silver;1266
10362;Sedan;TOYOTA;Prius;2008;Automatic;No;Hybrid;1.5;Front;4;112500 km;4;6;Left wheel;Green;843
17936;Jeep;MERCEDES-BENZ;ML 320 AMG;2002;Tiptronic;Yes;CNG;3.2;4x4;6;203000 km;4;8;Left wheel;Black;-
2754;Sedan;FORD;Fusion TITANIUM;2015;Tiptronic;Yes;Petrol;2;Front;4;77431 km;4;12;Left wheel;Grey;765
2041;Sedan;MERCEDES-BENZ;E 240;2002;Tiptronic;Yes;CNG;2.6;Rear;6;189000 km;4;8;Left wheel;Silver;-
10330;Jeep;TOYOTA;CHR;2019;Automatic;Yes;Petrol;2;Front;4;39221 km;4;12;Left wheel;Grey;1077
13470;Jeep;KIA;Sorento;2004;Manual;Yes;LPG;2.4;4x4;4;0 km;4;8;Left wheel;Black;-
1397;Hatchback;VOLKSWAGEN;Golf;1999;Manual;No;Petrol;1.4;Front;4;217000 km;4;2;Left wheel;Blue;-
10565;Pickup;SSANGYONG;Korando;2013;Automatic;Yes;Diesel;2;Front;4;147219 km;4;4;Left wheel;Silver;640
15837;Sedan;TOYOTA;Camry;2013;Automatic;Yes;Hybrid;2.5;Front;4;26918 km;4;12;Left wheel;White;779
1140;Sedan;FORD;Fusion;2013;Tiptronic;Yes;Petrol;2.0 Turbo;Front;4;137000 km;4;12;Left wheel;Grey;640
4474;Sedan;MERCEDES-BENZ;E 220 cdi;2016;Automatic;Yes;Diesel;2.0 Turbo;Rear;4;127000 km;4;6;Left wheel;Black;891
3404;Jeep;SSANGYONG;Actyon;2017;Automatic;Yes;Petrol;1.6;Front;4;60013 km;4;4;Left wheel;White;831
9497;Sedan;BMW;528;2011;Tiptronic;Yes;Petrol;2.0 Turbo;4x4;4;200000 km;4;0;Left wheel;Grey;707
246;Jeep;MERCEDES-BENZ;GLA 250;2017;Automatic;Yes;Petrol;2;4x4;4;44995 km;4;0;Left wheel;Black;1017
9969;Sedan;FORD;Escape;2019;Automatic;Yes;Petrol;1.5;Front;4;4309 km;4;12;Left wheel;White;830
2;Hatchback;HONDA;FIT;2006;Variator;No;Petrol;1.3;Front;4;200000 km;4;2;Right-hand drive;Black;-
8193;Hatchback;TOYOTA;Prius;2008;Automatic;No;Hybrid;1.5;Front;4;102000 km;4;2;Left wheel;Silver;843
5137;Universal;HYUNDAI;H1;2016;Automatic;Yes;Diesel;2.5;Front;4;182821 km;4;4;Left wheel;Silver;1091
17977;Sedan;KIA;Optima;2012;Tiptronic;No;Petrol;2.4;Front;6;140000 km;4;10;Left wheel;Brown;-
2163;Jeep;BMW;X6;2011;Automatic;Yes;Petrol;4.4;4x4;8;135800 km;4;12;Left wheel;Black;1451
12032;Microbus;FORD;Transit;2004;Manual;No;Diesel;2.4 Turbo;Rear;4;180000 km;4;2;Left wheel;White;-
3358;Sedan;HYUNDAI;Sonata;2010;Automatic;Yes;Petrol;2;Front;4;152566 km;4;4;Left wheel;Grey;836
2363;Jeep;LEXUS;RX 450;2010;Automatic;Yes;Hybrid;3.5;4x4;6;249112 km;4;0;Left wheel;Grey;1399
15198;Sedan;HYUNDAI;Elantra;2018;Automatic;Yes;Petrol;2;Front;4;22016 km;4;4;Left wheel;Grey;1079
13108;Universal;BMW;X5 M;2009;Tiptronic;Yes;Petrol;4.4 Turbo;4x4;8;170000 km;4;12;Left wheel;Blue;-
2685;Sedan;CHEVROLET;Malibu;2016;Automatic;Yes;Petrol;2;Front;4;106642 km;4;4;Left wheel;White;891
15917;Jeep;NISSAN;Juke;2015;Tiptronic;No;Petrol;1.6 Turbo;4x4;4;29120 km;4;12;Left wheel;Silver;-
15366;Sedan;TOYOTA;Corolla;2015;Automatic;No;Petrol;1.8;Front;4;82000 km;4;6;Left wheel;Green;-
3773;Sedan;MERCEDES-BENZ;E 350;2010;Automatic;Yes;Diesel;3.5;4x4;6;205968 km;4;12;Left wheel;White;1399
3896;Sedan;HYUNDAI;Sonata;2014;Tiptronic;No;Hybrid;2.4;Front;4;480000 km;4;12;Left wheel;Grey;-
