Id;Category;Manufacturer;Model;Prod. year;Gear box type;Leather interior;Fuel type;Engine volume;Drive wheels;Cylinders;Mileage;Doors;Airbags;Wheel;Color;Sales Fee;price
2680;Jeep;HYUNDAI;H1;2014;Automatic;Yes;Diesel;2.5;Front;4;74210 km;4;4;Left wheel;Silver;777;22433
5960;Sedan;MITSUBISHI;Mirage;2002;Automatic;No;Petrol;1.8;Front;4;160000 km;4;2;Left wheel;White;-;7500
2185;Jeep;HYUNDAI;Santa FE;2014;Automatic;Yes;Diesel;2;Front;4;51106 km;4;4;Left wheel;White;639;27284
15905;Sedan;MERCEDES-BENZ;E 260;1992;Manual;No;CNG;2.6;Rear;6;0 km;4;4;Left wheel;Beige;-;3450
15337;Universal;HONDA;FIT;2015;Automatic;Yes;Hybrid;1.5;Front;4;35624 km;4;4;Left wheel;Black;308;26644
13792;Hatchback;HONDA;FIT;2014;Automatic;Yes;Petrol;1.5;Front;4;78000 km;4;4;Left wheel;White;501;25638
12015;Microbus;FORD;Transit;2007;Manual;No;Diesel;2.4;Rear;4;165000 km;4;2;Left wheel;Blue;-;17249
307;Sedan;TOYOTA;Camry;2015;Automatic;Yes;Hybrid;2.5;Front;4;35000 km;4;10;Left wheel;Grey;456;39201
1054;Sedan;TOYOTA;Camry;2012;Automatic;Yes;Hybrid;2.5;Front;4;156518 km;4;12;Left wheel;White;781;3607
7945;Sedan;HYUNDAI;Elantra;2012;Automatic;Yes;Petrol;1.6;Front;4;165294 km;4;4;Left wheel;Silver;531;16308
15234;Minivan;MERCEDES-BENZ;Vito;2007;Tiptronic;Yes;Diesel;3.0 Turbo;Rear;6;250000 km;4;4;Left wheel;Black;-;30640
2277;Jeep;LEXUS;RX 450;2010;Automatic;Yes;Hybrid;3.5;4x4;6;167222 km;4;12;Left wheel;Black;1399;5018
1660;Sedan;HYUNDAI;Sonata;2016;Automatic;Yes;LPG;2;Front;4;287140 km;4;4;Left wheel;White;891;18817
15966;Sedan;FORD;F150;2016;Automatic;Yes;Petrol;3.5;Front;4;33543 km;4;4;Left wheel;White;1493;126322
11541;Coupe;HYUNDAI;Genesis;2010;Automatic;Yes;Petrol;3.8;Front;4;151977 km;4;4;Left wheel;Blue;1511;16621
1579;Jeep;TOYOTA;RAV 4;2010;Variator;Yes;Petrol;2;4x4;4;167300 km;>5;8;Left wheel;Blue;-;23207
3011;Jeep;HYUNDAI;Tucson;2016;Automatic;Yes;Diesel;2;Front;4;27243 km;4;4;Left wheel;Grey;891;29633
4573;Jeep;MERCEDES-BENZ;ML 350;2009;Automatic;Yes;Diesel;3.5;4x4;6;274088 km;4;12;Left wheel;Black;1624;6272
6342;Jeep;MERCEDES-BENZ;GL 450;2006;Automatic;Yes;LPG;4.5 Turbo;4x4;6;181000 km;4;6;Left wheel;Black;-;21000
15558;Sedan;HYUNDAI;Sonata;2015;Automatic;Yes;Petrol;2;Front;4;59150 km;4;4;Left wheel;Grey;765;42692
13593;Jeep;MERCEDES-BENZ;ML 350;2012;Automatic;Yes;Diesel;3.5;4x4;6;224118 km;4;12;Left wheel;White;1058;94
4549;Sedan;HYUNDAI;Elantra;2013;Tiptronic;No;Petrol;1.8;Front;4;126000 km;4;10;Left wheel;Grey;585;8467
15810;Jeep;HYUNDAI;Santa FE;2013;Automatic;Yes;Diesel;2;Front;4;53240 km;4;4;Left wheel;Grey;640;29166
9752;Sedan;VOLKSWAGEN;Jetta;2013;Automatic;Yes;Diesel;2;Front;4;142515 km;4;12;Left wheel;White;640;627
7711;Jeep;FIAT;500;2012;Automatic;Yes;Petrol;1.4;Front;4;108626 km;4;12;Left wheel;Grey;475;3450
12797;Hatchback;HYUNDAI;Elantra;2013;Automatic;No;Petrol;1.8;Front;4;106000 km;4;8;Left wheel;Black;585;12858
5888;Jeep;FORD;Escape;2010;Automatic;Yes;Hybrid;2.5;Front;4;174926 km;4;0;Left wheel;Grey;1024;862
6761;Sedan;TOYOTA;Camry;2018;Tiptronic;Yes;Petrol;2.5;Rear;6;31000 km;4;12;Left wheel;Grey;1327;40769
11026;Sedan;TOYOTA;Camry;2014;Tiptronic;Yes;Petrol;2.5;Front;4;77803 km;4;0;Left wheel;Black;777;21796
18984;Sedan;MERCEDES-BENZ;E 500;2003;Tiptronic;Yes;Petrol;5;Rear;12;150000 km;4;12;Right-hand drive;White;11714;11917
